Compound ID,98513984,864662311,864674487,951226070,1535166686,2245273601,2245384272,2763854213,2976033787,3189457552,3217380708,3218693969,3999906991,422715066,847961216,864942730,1510328189,2246699815,2246728737,2246703798,3545365497,2360741695,3976623167,1100037548,2041434490,994485099,1016841875,2246340824,2424973678,3452535345,3692055567,26234434,1276993226,1861965050,2117068077,2968968094,2976816164,10565946,3975275337,3982076256,2132511834,3848534832,1173125914,3542456614,1510461303,1685248591,3745584548,3537119515,2092489639,847957139,848128881,2245277810,2378779377,2296493092,2222715027
Isopropalin,0,0,0,0,0,1,4,0,0,0,4,2,0,0,0,2,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,1,0,2,0,0
Ethylcyclohexane,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3-Methylbutan-1-ol,0,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
p-Chloroacetanilide,0,0,0,4,0,0,0,0,0,0,2,4,0,0,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2-Methylpentanol,0,1,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
methyl nicotinate,1,0,1,1,0,0,0,0,0,0,1,4,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-Isopropyltoluene,2,0,0,2,0,1,0,0,0,0,2,4,2,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
3-Methylcholanthrene,1,0,0,6,0,0,0,0,0,0,9,9,0,1,0,0,0,0,1,0,0,2,1,0,0,2,0,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RTI 12,1,0,0,3,0,0,1,0,0,0,6,5,0,0,0,1,0,0,2,0,0,0,0,1,2,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0
"3,4-PCB",3,0,0,4,0,0,0,1,0,0,4,8,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
